"Story","Title","Result","Date","Stability","Duration (s)"
"Testing the Users features on the GoRest application","Updating the user created and verify it is updated with status 200","FAILURE","2022-06-23T21:40:21.822+01:00[Europe/London]","0.0","0.8"
"Testing the Users features on the GoRest application","Deleting the user created and verify it is deleted","FAILURE","2022-06-23T21:40:22.679+01:00[Europe/London]","0.0","0.77"
